edad,ingreso_anual,gasto_score,visitas_mes,compras_online,fidelidad
24,20282.451988878125,75.76240317977297,17.177081378444313,59.82257904269167,2.5107355496072734
22,21872.738642131444,75.46585891616147,12.365533392397362,65.41750805419521,0.9820505538648496
25,16674.76646726671,62.04356827369985,14.260252420263278,61.03928408432286,1.241536077069135
29,15551.053061969,76.69909808298563,12.299478945299304,71.6562707041918,1.0205842617848455
22,13659.397893768808,87.32829081821745,9.997999856350559,87.95767797192869,1.8614989780600466
22,14698.357880084179,67.25767880923205,5.274252196473261,58.43436764288193,3.1701923340705616
29,29796.377701234902,90.48482651050593,12.616367061108908,85.01230746652621,1.9949591297764713
26,22978.71832294715,84.87774821084338,9.673180186192827,58.274918914796686,1.5567813075723043
21,12595.702535167915,72.65766678028962,9.598993781504088,57.28559181254674,0.4743850699547558
25,12710.168173025719,78.58470362662153,10.503038232062664,82.2789192751482,2.552124584729843
21,19927.464246873966,95.98321807641034,17.23458421987048,83.82904567011425,1.2195953940713724
21,20189.059189511867,87.33547813505866,19.21451262676192,82.77114905143982,2.1175176191580967
23,20195.535341269457,80.08783654898147,12.651623812585203,50.26303887672788,1.6457813840833593
15,16980.17682578521,77.62316683039016,10.605698328264817,63.01073532891924,2.8381772195994377
16,17498.1829599884,80.7660907045166,8.46832074764637,82.34482888004982,1.8427636079714478
20,19311.51809663743,74.88236442057696,13.405620484638208,70.62312760845842,1.9410736454769484
18,18343.572025173322,58.95250494280985,17.348716800195433,53.89460730703804,2.4857471474554598
24,9122.79850900986,100.42177910534731,11.25797883892453,76.87476908688163,4.106940182263186
19,17080.801477699224,81.55324999199401,4.863011877740327,59.27789111512794,2.8884469303585543
17,14594.374262958745,83.98147265122537,14.010149015446572,96.91787272588319,1.9113938936513906
28,18700.84567563405,79.42092250123092,14.956199134350149,93.17262193627388,2.0031979906152886
22,29941.03601041364,72.64883199275413,7.242463078842458,79.06146139533351,1.4751405396755652
23,19469.926661897218,78.1407551905123,12.529452550988859,90.4151005715466,1.0500042964803047
17,16745.881255310407,64.00605237805689,13.353678048408296,70.97187025185072,1.447249212933678
20,21687.206007909008,102.77086498053305,11.780678093973185,81.48156241562523,1.2278510362880575
23,19930.75154883685,67.65488001577604,9.627687242743939,92.16580442953112,2.6533683837958852
18,19680.377961807364,69.6803371615282,15.047811670690669,73.68248022691469,0.928805142131014
24,20427.402372862685,75.597407956136,10.789860762093952,66.17219242728575,3.333210561380044
20,26226.174259318166,92.88075724852378,7.544441511900204,44.43067062734326,2.7520463836188296
21,13476.446258696338,80.14508999262654,5.851576542990957,68.75299711417759,2.0205017293676684
20,19894.52830724582,67.63864203969538,15.78254855999793,82.35134776843466,2.0003186114650684
30,14294.475480073846,92.54338360757339,13.849991929413354,84.18450141351444,1.4427186903854465
22,20222.050585368994,87.31000626785482,12.263920641387507,77.56547598577615,2.270084411347764
18,14325.253954055623,85.38434957216452,10.679176089447589,61.880513575566404,3.0880924632085893
26,16330.532745579663,87.1573424117084,10.413004757390619,40.347676465786144,1.2968435377441863
18,16819.640343048373,103.9436190058245,8.772790054675166,62.571773529928976,0.46660791108126953
23,21903.266877378835,101.85094895036113,10.705633066320345,65.43482693419072,2.703218254856744
15,21673.817775769654,73.13284656996704,5.639738354639476,65.30606549214978,2.3243659742438005
17,13017.130494214463,96.23884992811152,9.791809039594458,79.27834535466887,0.8798011985588206
23,18219.736443999394,83.83168189758901,11.067187450946719,99.7851461652226,1.266608629085882
25,15161.68058100331,84.99095816137749,13.829640141571257,71.85293802761639,1.1408957259498593
23,12965.980357298662,63.07729168356671,11.880220609879908,66.74902316265307,1.275467730965751
22,17131.931798302518,78.29614234611805,14.384769341626678,66.1116728049386,1.6763172459588123
21,16766.06884617672,71.87176409663435,16.04740531534029,71.86577150361572,1.7334526957192526
17,27706.865945382087,88.28058814893309,15.174510281472305,57.57559359477402,1.34920634493154
20,19731.839301442786,90.71080500402805,13.411529542135671,71.80297838119083,1.241836180500072
21,12489.529996983052,59.255136489836886,12.035588037542352,76.762185044977,1.7712156560806185
27,15740.903983316231,79.7796513599573,9.057635974759322,73.14529095361732,2.167691534859561
24,22085.533181717594,91.21861504794252,14.219832154137949,76.86312901007172,1.6837034636351553
15,26353.7710914797,78.13321037686555,17.039242146664588,76.50621414022802,3.1586670233413017
24,11656.066751048167,87.29063645002364,13.026318118951254,43.42154976630334,2.5080877144207863
21,10480.302459443821,83.51165467627084,17.75177744527837,79.55305237593105,0.40915414314130416
20,25483.86070148713,83.41660231952626,7.423284875816749,59.934777315063194,2.5237277654138532
25,19558.456709483617,77.28685021931703,8.537509845661376,53.562412554940636,2.6055439825855826
27,14526.829072494535,67.8341919586429,14.565604523244787,53.433222582175055,1.5652650318758088
26,20138.51634448974,68.78469852574972,12.792870630459753,76.50312415708794,0.5048024126968444
19,7457.009043932489,87.09352514455317,15.941346529715423,66.6613760916272,2.008066759411136
21,18013.502026388644,80.19458255518883,11.953585077819781,44.77046824021884,1.992291348517756
24,19311.28469137234,78.61487755392776,9.396073732415005,77.17056722788425,0.8783537634668053
26,21697.08055815132,75.76109957677647,11.359220273384873,48.40587803801759,0.5487807837400644
21,13944.416190829848,76.94811154519249,7.4019480872287975,72.09732037777316,1.9124464535465606
22,18342.748645613436,90.46911794488139,8.614227980708897,73.57748388509582,1.766922807949178
18,14298.30149576165,76.64755918131974,14.917331993754031,83.28365622542567,1.5827346346776063
18,19021.53502269727,66.58935286698431,14.61836224340883,96.72527179700278,1.9165892652534386
26,14418.614710547903,87.43651775540174,13.08901285441823,49.52985511149188,0.8972236261796809
28,16367.596643359117,77.95123336135283,6.836767437118592,69.21289215905426,1.565179387133886
22,14016.738420839083,80.31395865532777,10.924789273461334,65.85497057433673,2.5333250306143476
27,20604.544967294627,96.0757830639951,8.325000334019848,76.50624528941444,1.6500299196487112
24,21433.80446662666,79.79439442649493,15.529599761363297,73.23503156400427,0.32802752820744807
20,17061.517720170345,82.89183673118725,10.248833599312196,64.7118063589507,1.5273077222764284
24,18152.951979840112,68.21076508701674,8.742756867655352,63.386467170837165,0.9298415364931396
29,12205.634341465822,77.8033054764904,12.089388495364274,53.25323717223929,2.2671362964617305
22,16801.29340797285,86.09526045208601,10.079536629496165,84.81792373609764,2.3188374033804253
29,17799.18153183302,64.44626266158758,16.45123173061112,76.88806272399295,0.3412253749139691
12,28483.1723641199,82.0084509311571,9.795567307397427,83.76652296692706,2.759012970582189
26,13552.131896903345,81.00791072644806,7.802315222326106,65.34405795286729,0.8878136987214416
23,23856.70895500975,80.4128745558744,5.541259452727453,60.147467969583545,3.5591822904823514
21,21987.43509386323,90.37158898658242,11.907640492759754,53.82527400056158,1.951223735499383
23,19122.545617960546,83.34438514848522,10.314209658426222,75.38376375610989,0.7536065014608377
15,25034.481936780532,94.78071898356444,7.71328618046482,54.403101632076485,0.8580139293073186
22,19488.421890427453,70.06410484405964,15.567679383767356,97.72994603449825,2.3480952917873448
24,19556.636782671714,81.35924567218348,14.001735442287725,50.38536128359839,1.6087001101016223
28,17787.51738792982,80.84466786389947,11.915346363188311,74.10490178818753,1.903346090381859
20,22894.27552967451,69.3074550624492,16.0929787325126,93.50282060820679,3.6127802326970393
19,22385.876935243534,89.56295002091346,13.987608100195839,78.98634638895713,1.3007559357709249
20,15497.29085001515,103.24673305852818,9.531432295444702,72.6351056873767,2.0599628576957065
26,12723.011221604931,79.82993925516169,8.882339508027702,55.47274529557157,3.4198444873730534
24,17188.07745041737,85.05021088273767,14.453944633361584,49.27346217148444,2.2705134754664003
